Estimate,Value
[107.03947764],105.48
[105.67384424],108.33
[108.53676039],108.77
[109.34047996],108.36
[108.11131786],106.22
[106.52265004],103.1
[102.38647752],103.14
[103.49719955],102.7
[102.368956],101.51
[101.59145081],97.57
[96.63780548],96.94
[96.92380095],94.31
[93.50067358],93.94
[93.73830987],93.92
[93.42805538],92.97
[92.6656885],96.21
[96.15831417],97.23
[97.28392839],97.85
[97.52344574],99.15
[99.52053098],96.47
[95.69486146],92.42
[91.78027692],92.98
[92.69237501],96.19
[96.98717774],97.29
[97.24600612],97.78
[97.9884096],100.21
[100.48337819],102.93
[103.66324059],102.77
[102.82633607],103.07
[103.52895297],99.55
[99.18941426],99.77
[100.1980176],100.66
[101.04397001],100.46
[100.84397483],102.72
[103.2940646],103.95
[104.55032928],102.11
[102.04695768],100.51
[100.59487324],100.29
[100.36811762],101.92
[102.39261461],103.82
[104.00855401],103.95
[103.97969509],103.23
[103.0290836],105.97
[106.52617072],107.23
[107.42992729],106.69
[106.72293355],105.52
[105.44451501],103.25
[102.81843218],102.37
[102.00623482],104.35
[104.81821553],102.19
[101.7910727],97.5
[96.70376585],97.17
[97.05052207],94.95
[94.45998581],96.25
[96.14057295],94.06
[93.44018916],92.43
[91.72630906],93.52
[93.48637582],93.15
[92.67081988],91.44
[90.95790662],87.63
[86.71894992],82.88
[81.93538091],82.12
[81.62270481],81.29
[80.97526193],78.24
[77.41351941],76.5
[76.0200452],75.38
[74.86015653],72.36
[71.69281341],67.18
[66.00158323],61.14
[59.88912955],55.89
[54.52903847],55.58
[55.09740172],53.44
[52.53039486],48.77
[47.43404674],47.07
[46.0685881],46.46
[45.73217071],45.32
[44.39762495],50.58
[50.8478324],51.14
[50.72454944],51.69
[51.32449226],49.16
[48.42380308],50.38
[50.58956731],47.69
[47.16879912],44.39
[43.65922056],48.68
[49.39563342],48.91
[49.03948222],51.78
[52.43347784],54.78
[55.60159636],56.14
[56.79258207],57.98
[58.81210861],59.73
[60.6376091],60.01
[60.74506076],58.95
[59.4804087],58.19
[58.61708187],59.66
[60.56031065],60.07
[60.78846997],59.89
[60.10177412],60.01
[60.53616224],57.92
[57.96797387],52.38
[51.69836448],51.68
[51.56056169],49.21
[48.72038893],47.91
[47.33414271],44.94
[44.04344845],43.2
[42.21272312],41.34
[40.34848784],40.73
[39.70722299],46.73
[46.95319088],45.16
[44.12619196],45.48
[44.76880839],45.57
[44.91642231],45.0
[44.2854663],48.36
[48.43351868],46.82
[46.26195322],45.16
[44.5864976],44.99
[44.81592271],45.98
[46.05178844],42.7
[42.24560142],40.62
[40.28634791],40.49
[40.63471971],40.4
[40.51499212],36.93
[36.61212105],35.78
[35.68072567],36.26
[36.57941214],36.99
[37.24377367],34.65
[34.51563869],30.59
[29.93559865],29.19
[29.00634076],31.81
[31.91714709],31.26
[30.90694782],28.14
[27.22744066],30.02
[30.2062114],31.32
[31.28876982],34.43
[34.85389556],37.69
[38.16414306],38.32
[38.53586137],39.45
[39.84340741],36.82
[36.75159235],36.72
[37.03333159],41.23
[42.44475418],41.86
[42.16598695],44.3
[45.00967152],44.22
[44.44791704],45.44
[45.94189822],47.99
[48.71807368],48.72
[49.12106235],49.0
[49.32526735],50.18
[50.69086237],47.89
[47.76281579],48.71
[49.08787346],48.17
[48.2750185],46.17
[45.88303248],45.6
[45.55825133],44.44
[44.15416632],41.83
[41.25389266],40.82
[40.41341346],43.11
[43.25567418],47.16
[47.5231374],47.05
[46.77247339],45.11
[44.59892047],45.96
[46.15847782],44.34
[44.09979235],44.59
[44.73482814],46.55
[46.98014869],49.48
[50.05203131],50.29
[50.50645046],50.56
[50.74159926],49.36
[49.37257288],45.51
[45.05745016],44.61
[44.67088967],45.15
[45.33588812],47.25
[47.55227632],48.63
[48.73942087],50.97
[51.23204289],51.91
[52.01955438],51.95
[51.94993882],53.6
[54.03566138],53.34
[53.45210404],52.07
[52.07269898],51.82
[52.00419531],52.74
[53.10851563],53.33
[53.55223206],52.88
[52.88981311],53.22
[53.33247952],54.03
[54.22215612],53.56
[53.47858581],50.5
[49.98286705],48.03
[47.59492762],47.28
[47.12598619],49.14
[49.30971701],51.26
[51.42458768],53.19
[53.27149205],51.09
[50.57319379],49.12
[48.69823359],47.21
[46.95239778],47.04
[46.99692417],49.24
[49.65649093],50.21
[50.24419232],48.48
[48.11424381],46.57
[46.16683658],45.3
[45.1206081],43.09
[42.6200977],44.63
[44.85858344],44.96
[44.8260004],45.51
[45.41454305],46.41
[46.39836431],48.27
[48.48521323],49.52
[49.6847692],49.08
[49.02620338],47.52
[47.36802281],47.68
[47.90126283],46.68
[46.67517151],48.58
[49.03646507],49.07
[49.24475393],50.12
[50.30492803],51.77
[52.14663808],50.23
[49.96127477],50.77
[50.99807593],51.74
[52.00804759],52.51
[52.74309832],54.59
[55.0390281],57.05
[57.59852122],55.81
[55.68886226],57.47
[57.97236983],57.81
[58.10434076],56.92
[56.95706485],57.17
[57.46491701],57.87
[58.1626852],59.88
[60.38277597],61.36
[61.69665052],63.26
[63.69353189],63.77
[63.97288456],65.14
[65.55496531],65.32
[65.56656084],62.01
[61.63513475],60.56
[60.55859351],62.47
[63.0101541],62.07
[62.03687554],61.65
[61.53476216],61.28
[61.17197927],64.11
[64.51803717],64.97
[65.03386332],63.07
[62.61132319],66.02
[66.59452092],67.55
[67.83855181],67.91
[68.03581501],68.38
[68.61237243],70.56
[71.14792416],71.3
[71.64898037],70.98
[71.14863118],66.96
[66.51620654],65.35
[65.30540946],66.21
[66.56591872],66.32
[66.30033483],74.03
[75.36201951],73.73
[73.50529179],71.96
[71.53212796],68.95
[68.55836909],70.01
[70.31930676],69.46
[69.54025183],67.9
[67.59899835],66.15
[65.9471713],68.1
[68.35060446],69.66
[69.90597425],68.51
[68.05105574],68.96
[69.0249617],70.28
[70.37675148],72.84
[73.31722271],75.13
[75.46132701],72.96
[72.69294721],70.24
[69.87460163],67.43
[67.25642889],65.06
[64.75248929],61.57
[61.0830859],56.92
[55.90636783],54.99
[54.47948857],51.01
[49.77405381],52.63
[52.50547314],51.54
[50.64972498],46.98
[45.44281727],45.22
[44.27642906],47.0
[46.80421445],50.78
[50.95087988],51.92
[51.71938085],52.88
[52.80468781],53.63
[53.79812994],53.53
[53.62588785],53.88
[54.24013608],56.74
[57.57132987],56.12
[56.32478951],56.35
[56.64622916],57.81
[58.42869016],59.44
[59.91531297],59.49
[59.73114129],62.36
[63.02279498],64.1
[64.65231275],63.8
[63.83547982],65.28
[65.84724324],62.9
[62.6177763],61.81
[61.87735283],62.1
[62.30451007],60.72
[60.56534722],56.93
[56.18349676],52.97
[52.19102985],52.52
[52.24075592],54.75
[54.89005076],58.38
[58.60886097],57.32
[56.72165364],59.02
[59.02424424],56.74
[56.24095472],56.05
[55.83423593],56.55
[56.81456342],53.28
[52.63353194],55.31
[55.84602444],55.5
[55.50157554],55.21
[55.1684939],55.73
[55.78086324],56.16
[56.25259303],59.33
[59.87326072],56.9
[56.48356578],53.12
[52.41800848],53.27
[53.48026275],53.49
[53.50563288],55.2
[55.50322688],55.17
[55.01371896],56.69
[56.90694829],56.85
[56.78993745],56.9
[56.9078246],58.07
[58.31730246],57.64
[57.64088178],59.25
[59.63205036],60.75
[61.16803948],61.29
[61.47581167],62.09
[62.42214219],60.84
[60.75446701],58.29
[58.02535912],56.15
[55.90406896],52.7
[52.15760784],50.36
[49.85751894],50.83
[50.77724428],53.14
[53.23708831],48.36
[47.07051091],45.57
[44.65229455],32.39
[29.58326939],24.19
[22.10348227],19.44
[18.04178308],21.69
[21.19589105],24.41
[24.07404093],20.12
[17.86312679],3.32
[-1.26763594],15.71
[17.12027259],23.46
[24.35852486],26.4
[25.69866616],33.1
[34.5721172],34.19
[34.36092846],37.32
[38.96747231],37.87
[38.7567823],38.35
[39.75698814],39.22
